YEAR,MONTH,DAY,TENTHS,MM,IN
1948,7,1,0,0,0
1948,7,2,0,0,0
1948,7,3,0,0,0
1948,7,4,0,0,0
1948,7,5,0,0,0
1948,7,6,0,0,0
1948,7,7,0,0,0
1948,7,8,0,0,0
1948,7,9,0,0,0
1948,7,10,140,14,0.551181102
1948,7,11,264,26.4,1.039370079
1948,7,12,0,0,0
1948,7,13,0,0,0
1948,7,14,25,2.5,0.098425197
1948,7,15,0,0,0
1948,7,16,823,82.3,3.24015748
1948,7,17,0,0,0
1948,7,18,0,0,0
1948,7,19,191,19.1,0.751968504
1948,7,20,0,0,0
1948,7,21,0,0,0
1948,7,22,0,0,0
1948,7,23,0,0,0
1948,7,24,0,0,0
1948,7,25,0,0,0
1948,7,26,0,0,0
1948,7,27,0,0,0
1948,7,28,30,3,0.118110236
1948,7,29,0,0,0
1948,7,30,0,0,0
1948,7,31,0,0,0
1948,8,1,137,13.7,0.539370079
1948,8,2,18,1.8,0.070866142
1948,8,3,307,30.7,1.208661417
1948,8,4,206,20.6,0.811023622
1948,8,5,0,0,0
1948,8,6,0,0,0
1948,8,7,0,0,0
1948,8,8,0,0,0
1948,8,9,0,0,0
1948,8,10,0,0,0
1948,8,11,0,0,0
1948,8,12,0,0,0
1948,8,13,0,0,0
1948,8,14,140,14,0.551181102
1948,8,15,43,4.3,0.169291339
1948,8,16,0,0,0
1948,8,17,0,0,0
1948,8,18,0,0,0
1948,8,19,0,0,0
1948,8,20,0,0,0
1948,8,21,0,0,0
1948,8,22,0,0,0
1948,8,23,0,0,0
1948,8,24,0,0,0
1948,8,25,0,0,0
1948,8,26,0,0,0
1948,8,27,0,0,0
1948,8,28,0,0,0
1948,8,29,0,0,0
1948,8,30,0,0,0
1948,8,31,0,0,0
1948,9,1,0,0,0
1948,9,2,0,0,0
1948,9,3,0,0,0
1948,9,4,71,7.1,0.279527559
1948,9,5,188,18.8,0.74015748
1948,9,6,264,26.4,1.039370079
1948,9,7,297,29.7,1.169291339
1948,9,8,0,0,0
1948,9,9,0,0,0
1948,9,10,0,0,0
1948,9,11,0,0,0
1948,9,12,0,0,0
1948,9,13,0,0,0
1948,9,14,0,0,0
1948,9,15,0,0,0
1948,9,16,0,0,0
1948,9,17,0,0,0
1948,9,18,0,0,0
1948,9,19,0,0,0
1948,9,20,0,0,0
1948,9,21,0,0,0
1948,9,22,0,0,0
1948,9,23,0,0,0
1948,9,24,0,0,0
1948,9,25,0,0,0
1948,9,26,0,0,0
1948,9,27,0,0,0
1948,9,28,84,8.4,0.330708661
1948,9,29,0,0,0
1948,9,30,0,0,0
1948,10,1,0,0,0
1948,10,2,0,0,0
1948,10,3,0,0,0
1948,10,4,0,0,0
1948,10,5,5,0.5,0.019685039
1948,10,6,0,0,0
1948,10,7,0,0,0
1948,10,8,137,13.7,0.539370079
1948,10,9,0,0,0
1948,10,10,0,0,0
1948,10,11,18,1.8,0.070866142
1948,10,12,0,0,0
1948,10,13,0,0,0
1948,10,14,0,0,0
1948,10,15,0,0,0
1948,10,16,0,0,0
1948,10,17,0,0,0
1948,10,18,71,7.1,0.279527559
1948,10,19,0,0,0
1948,10,20,0,0,0
1948,10,21,0,0,0
1948,10,22,46,4.6,0.181102362
1948,10,23,10,1,0.039370079
1948,10,24,0,0,0
1948,10,25,0,0,0
1948,10,26,0,0,0
1948,10,27,0,0,0
1948,10,28,0,0,0
1948,10,29,0,0,0
1948,10,30,0,0,0
1948,10,31,0,0,0
1948,11,1,41,4.1,0.161417323
1948,11,2,142,14.2,0.559055118
1948,11,3,681,68.1,2.681102362
1948,11,4,0,0,0
